date,close,volume,open,high,low
2/19/19,1627.58,3671821,1601,1634,1600.56
2/15/19,1607.95,4333397,1627.86,1628.9099,1604.5
2/14/19,1622.65,4106555,1624.5,1637.9,1606.061
2/13/19,1640,3545096,1647,1656.38,1637.1063
2/12/19,1638.01,4830487,1604,1639.395,1598.88
2/11/19,1591,3301240,1600.98,1609.29,1586
2/8/19,1588.22,5649888,1586,1588.59,1566.756
2/7/19,1614.37,4605293,1625,1625.5389,1592.91
2/6/19,1640.26,3930870,1670.75,1672.26,1633.34
2/5/19,1658.81,4443632,1643.34,1665.26,1642.5
2/4/19,1633.31,4911319,1623,1649.63,1613.5
2/1/19,1626.23,11484130,1638.88,1673.06,1622.01
1/31/19,1718.73,10304330,1692.85,1736.411,1679.0821
1/30/19,1670.43,5717042,1623,1676.95,1619.68
1/29/19,1593.88,4591586,1631.27,1632.38,1590.72
1/28/19,1637.89,4807564,1643.59,1645,1614.09
1/25/19,1670.57,4933434,1670.5,1683.48,1661.6122
1/24/19,1654.93,4077737,1641.07,1657.2572,1631.7847
1/23/19,1640.02,5192420,1656,1657.43,1612
1/22/19,1632.17,6402655,1681,1681.8668,1610.2
1/18/19,1696.2,5973318,1712,1716.2,1691.54
1/17/19,1693.22,4179836,1680,1700.17,1677.5
1/16/19,1683.78,6343614,1684.22,1705,1675.8787
1/15/19,1674.56,5964298,1632,1675.16,1626.01
1/14/19,1617.21,5989299,1615,1648.2,1595.15
1/11/19,1640.56,4670093,1640.55,1660.294,1636.22
1/10/19,1656.22,6487252,1641.01,1663.25,1621.615
1/9/19,1659.42,6333528,1652.98,1667.7989,1641.3953
1/8/19,1656.58,8830753,1664.69,1676.61,1616.61
1/7/19,1629.51,7971720,1602.31,1634.56,1589.185
1/4/19,1575.39,9161701,1530,1594,1518.3101
1/3/19,1500.28,6934218,1520.01,1538,1497.11
1/2/19,1539.13,7871967,1465.2,1553.36,1460.93
12/31/18,1501.97,6941598,1510.8,1520.76,1487
12/28/18,1478.02,8822598,1473.35,1513.47,1449
12/27/18,1461.64,9631228,1454.2,1469,1390.31
12/26/18,1470.9,10332870,1368.89,1473.1567,1363.01
12/24/18,1343.96,7219996,1346,1396.03,1307
12/21/18,1377.45,13556470,1464.99,1480,1363.96
12/20/18,1460.83,9912659,1484,1509.5,1432.69
12/19/18,1495.08,8624401,1543.05,1584.53,1483.18
12/18/18,1551.48,6468073,1540,1567.55,1523.01
12/17/18,1520.91,8729020,1566,1576.13,1505.01
12/14/18,1591.91,6347659,1638,1642.57,1585
12/13/18,1658.38,5249043,1680,1692.12,1641.5
12/12/18,1663.54,6581356,1669,1704.99,1660.27
12/11/18,1643.24,6217833,1678,1679.4684,1619.6
12/10/18,1641.03,7467159,1623.84,1657.99,1590.87
12/7/18,1629.13,7508939,1705.07,1718.9262,1625.46
12/6/18,1699.19,8701197,1614.87,1701.05,1609.85
12/4/18,1668.4,8653416,1756,1770.3382,1665
12/3/18,1772.36,6840412,1769.46,1778.34,1730
11/30/18,1690.17,5744168,1679.5,1696,1666.5
11/29/18,1673.57,6600424,1674.99,1689.99,1652.331
11/28/18,1677.75,8429894,1613.92,1681.45,1601.215
11/27/18,1581.42,5758441,1575.99,1597.65,1558.01
11/26/18,1581.33,6226531,1539,1584.81,1524.22
11/23/18,1502.06,2707642,1517,1536.2,1501.81
11/21/18,1516.73,5707400,1542.99,1550,1515
11/20/18,1495.46,10824410,1437.5,1534.75,1420
11/19/18,1512.29,7741370,1577.01,1581.19,1503.36
11/16/18,1593.41,6057199,1587.5,1614.48,1573.12
11/15/18,1619.44,8379824,1581.01,1624.82,1546.51
11/14/18,1599.01,6439170,1656.32,1672.9952,1597.07
11/13/18,1631.17,5901499,1649.29,1677.0638,1613.75
11/12/18,1636.85,6763693,1698.24,1708.55,1630.01
11/9/18,1712.43,5892058,1732.5,1743.9206,1701.87
11/8/18,1754.91,6520345,1755,1784,1725.11
11/7/18,1755.49,8166777,1673,1759.23,1664.075
11/6/18,1642.81,4206093,1618.35,1665,1614.55
11/5/18,1627.8,5615749,1657.57,1658.09,1596.36
11/2/18,1665.53,6932644,1678.59,1697.44,1651.83
11/1/18,1665.53,8054045,1623.53,1670.4465,1598.44
10/31/18,1598.01,9372899,1569.99,1623.91,1565.09
10/30/18,1530.42,12395130,1486.16,1540.99,1476.36
10/29/18,1538.88,13791810,1660,1665.7383,1495
10/26/18,1642.81,14941860,1649.59,1698.46,1603
10/25/18,1782.17,9941447,1703.34,1794.81,1692.0101
10/24/18,1664.2,6845123,1773.7,1777.7099,1656.56
10/23/18,1768.7,6705686,1742.24,1776.34,1714
10/22/18,1789.3,4481334,1784,1809.4999,1756
10/19/18,1764.03,5854417,1785.16,1809.1,1753
10/18/18,1770.72,5839352,1821.49,1830.15,1767.87
10/17/18,1831.73,5282597,1842.79,1845,1807
10/16/18,1819.96,5826985,1783.5,1823.88,1761.55
10/15/18,1760.95,6360606,1795,1795.05,1734.23
10/12/18,1788.61,9385256,1808,1808.95,1742.53
10/11/18,1719.36,13858970,1724,1755.4,1685.1
10/10/18,1755.25,10878990,1857.89,1858.56,1754.41
10/9/18,1870.32,4732430,1859.99,1896.6759,1852.32
10/8/18,1864.42,7346828,1874,1901.9962,1830.6627
10/5/18,1889.65,6816213,1917.99,1929.08,1862.83
10/4/18,1909.42,7240549,1949,1956,1896.57
10/3/18,1952.76,5167224,1981.7,1989.7,1949.81
10/2/18,1971.31,5360924,1999.99,2013.39,1965.77
10/1/18,2004.36,3457725,2021.99,2033.19,2003.6
9/28/18,2003,3991574,2004.41,2026.52,1996.4648
9/27/18,2012.98,4295758,1993.2365,2016.1564,1988.58
9/26/18,1974.85,4262097,1968.5,1995.25,1961.52
9/25/18,1974.55,4351662,1942.9,1975.91,1938.85
9/24/18,1934.36,4146563,1903.79,1936.88,1865
9/21/18,1915.01,6774727,1954.22,1957.31,1910.5011
9/20/18,1944.3,3142025,1938.58,1955,1932.25
9/19/18,1926.42,4037641,1940.5,1940.83,1904.9
9/18/18,1941.05,4231892,1918.65,1958.2,1915.4391
9/17/18,1908.03,6981550,1954.73,1956.82,1887.41
9/14/18,1970.19,3587896,1992.93,1993.648,1959.22
9/13/18,1989.87,3605398,2000,2008.76,1982.0277
9/12/18,1990,4407334,1994,2000,1962.44
9/11/18,1987.15,5016780,1928.27,1988.88,1917
9/10/18,1939.01,4481091,1971,1973.04,1931.5158
9/7/18,1952.07,4856982,1938.71,1975.2,1937.35
9/6/18,1958.31,7473086,2006.505,2007.5,1935.209
9/5/18,1994.82,8197117,2038.11,2040.38,1989.89
9/4/18,2039.51,5703128,2026.5,2050.5,2013
8/31/18,2012.71,4148432,2007,2022.38,2004.74
8/30/18,2002.38,7254573,1997.42,2025.57,1986.9
8/29/18,1998.1,6432354,1953.45,1998.6899,1948.94
8/28/18,1932.82,3070482,1937.73,1941.7771,1928.82
8/27/18,1927.68,3546496,1915,1927.7,1909.281
8/24/18,1905.39,2781770,1910.51,1916.01,1902.54
8/23/18,1902.9,3548197,1907.17,1919.5,1900.76
8/22/18,1904.9,3058369,1876.64,1905.8,1876.64
8/21/18,1883.42,3068215,1880,1897.75,1874.405
8/20/18,1876.71,2854320,1890.57,1891.7465,1866.061
8/17/18,1882.22,4088548,1885.8,1888,1855.55
8/16/18,1886.52,3884253,1903.94,1905,1883.5525
8/15/18,1882.62,7658108,1909.55,1916.21,1869.79
8/14/18,1919.65,3918758,1919.39,1921.01,1900
8/13/18,1896.2,5508481,1898.5,1925,1893.67
8/10/18,1886.3,3623734,1888.51,1899.5,1878.2125
8/9/18,1898.52,4844363,1882,1914.57,1877.48
8/8/18,1886.52,3922462,1861,1891.51,1854.5
8/7/18,1862.48,3332789,1854.53,1869.72,1846.2673
8/6/18,1847.75,3383971,1825.81,1847.77,1818.92
8/3/18,1823.29,3454718,1837.744,1841,1821.501
8/2/18,1834.33,4337911,1788.77,1836.56,1786
8/1/18,1797.17,4139144,1784,1798.4365,1776.02
7/31/18,1777.44,5716449,1786.49,1801.83,1739.32
7/30/18,1779.22,6542712,1827.33,1829.5,1766.02
7/27/18,1817.27,9670042,1876.05,1880.05,1806.53
7/26/18,1808,9637399,1839,1844.68,1804.5
7/25/18,1863.61,3657664,1829.3,1863.84,1822.64
7/24/18,1829.24,4228340,1829.01,1840,1809.3829
7/23/18,1802,3858903,1812.21,1819,1769.99
7/20/18,1813.7,3879448,1825.01,1834.84,1810.06
7/19/18,1812.97,4590063,1829.46,1841,1811.27
7/18/18,1842.92,4851208,1848,1858.88,1831.27
7/17/18,1843.93,5660705,1811.56,1851.69,1797.3838
7/16/18,1822.49,5425916,1821.95,1841.95,1814.45
7/13/18,1813.03,4381802,1803.93,1815.3,1795.225
7/12/18,1796.62,4511274,1764.51,1798,1762.18
7/11/18,1755,3167209,1737.99,1756.96,1734
7/10/18,1743.07,2977310,1738.53,1750,1731
7/9/18,1739.02,2926194,1724.05,1739.56,1716.23
7/6/18,1710.63,2586450,1696,1715.268,1691.67
7/5/18,1699.73,2974047,1705.38,1710.69,1682.1501
7/3/18,1693.96,2177276,1723.96,1725,1692.48
7/2/18,1713.78,3180640,1682.7,1713.89,1678.06
6/29/18,1699.8,4486680,1717,1723.41,1694.3156
6/28/18,1701.45,4521788,1672.54,1705.5,1661.1738
6/27/18,1660.51,4778872,1708.11,1711.95,1660
6/26/18,1691.09,4295320,1672.37,1701.565,1663.34
6/25/18,1663.15,7494818,1702.51,1705,1646.3089
6/22/18,1715.67,4050059,1742.62,1743,1711.9
6/21/18,1730.22,4913177,1760,1763.1,1717.56
6/20/18,1750.08,4320836,1742.5,1762.93,1741.36
6/19/18,1734.78,4278496,1709.04,1736.11,1700.39
6/18/18,1723.79,3094110,1706.26,1726.7404,1702.56
6/15/18,1715.97,4729101,1714,1720.87,1708.52
6/14/18,1723.86,3157127,1713.48,1724.7999,1708.87
6/13/18,1704.86,3315258,1702.81,1713.75,1700.12
6/12/18,1698.75,2203056,1693,1699.51,1691.5235
6/11/18,1689.12,2317881,1681.51,1694.2436,1680.5923
6/8/18,1683.99,2949020,1681.12,1689.44,1673.01
6/7/18,1689.3,3756128,1698.558,1699.9,1676.105
6/6/18,1695.75,5466032,1704.51,1714.5,1686.47
6/5/18,1696.35,4733275,1672.99,1699,1670.06
6/4/18,1665.27,3178387,1648.9,1665.68,1645.49
6/1/18,1641.54,3302466,1637.03,1646.7299,1635.09
5/31/18,1629.62,3157622,1623,1635,1621.35
5/30/18,1624.89,2892704,1618.1,1626,1612.93
5/29/18,1612.87,3837381,1600.709,1621.79,1600.15
5/25/18,1610.15,2624784,1603,1614.12,1600.4474
5/24/18,1603.07,3383788,1598.03,1608.24,1588.38
5/23/18,1601.86,3348540,1571.05,1601.86,1566.34
5/22/18,1581.4,2053733,1589.89,1589.89,1575.25
5/21/18,1585.46,2840655,1585,1592.05,1575
5/18/18,1574.37,2612564,1581.33,1583.5903,1572.1
5/17/18,1581.76,2131238,1580.56,1594.04,1573
5/16/18,1587.28,2535458,1577.5,1594.43,1576.67
5/15/18,1576.12,5066420,1587.8047,1587.8047,1565.2201
5/14/18,1601.54,2460302,1604,1611.18,1600.05
5/11/18,1602.91,2258583,1610.99,1611.1,1597.891
5/10/18,1609.08,2785394,1608.475,1615.6,1603.44
5/9/18,1608,3628661,1600,1608,1592
5/8/18,1592.39,3033526,1595,1596.88,1582.51
5/7/18,1600.14,3793376,1589.337,1606.949,1587.83
5/4/18,1580.95,3414088,1562.45,1584.9,1562.19
5/3/18,1572.075,4235885,1560.01,1574.8,1546.02
5/2/18,1569.68,4252230,1580.98,1588.4992,1566.36
5/1/18,1582.26,4551661,1563.22,1585,1552.18
4/30/18,1566.13,5421282,1582.5,1596,1560.941
4/27/18,1572.62,13025430,1634.01,1638.1,1567.386
4/26/18,1517.96,8309864,1485.01,1529.42,1478.5
4/25/18,1460.17,6365989,1458,1469.99,1415.02
4/24/18,1460.09,7470059,1535.8,1539.5,1448.4475
4/23/18,1517.86,4447801,1546.6947,1548,1503.4103
4/20/18,1527.49,5520642,1561.1999,1561.1999,1516.093
4/19/18,1556.91,6483967,1543.22,1568.52,1539.06
4/18/18,1527.84,5091677,1514.65,1533.8,1504.11
4/17/18,1503.83,5008532,1462.295,1507.19,1457.0219
4/16/18,1441.5,2773836,1445,1447,1427.48
4/13/18,1430.79,3637586,1449.136,1459.7808,1424.52
4/12/18,1448.5,3116939,1439.5,1452.12,1435.06
4/11/18,1427.05,3544449,1439.44,1448.7758,1424.89
4/10/18,1436.22,4258358,1431.99,1438.38,1415.7
4/9/18,1406.08,4193564,1425.03,1438.48,1402.571
4/6/18,1405.23,5838758,1429.97,1452.502,1400.26
4/5/18,1451.75,6305513,1441.99,1459.5575,1427.07
4/4/18,1410.57,6942485,1358.24,1415.39,1352.88
4/3/18,1392.05,10212940,1391.38,1414,1355.33
4/2/18,1371.99,10432560,1417.62,1421.358,1355
3/29/18,1447.34,12570020,1406,1455.47,1365.2
3/28/18,1431.42,13680370,1447,1455.9,1386.17
3/27/18,1497.05,6887274,1572.4,1575.965,1482.32
3/26/18,1555.86,5592200,1530,1556.99,1499.25
3/23/18,1495.56,7977655,1539.01,1549.02,1495.36
3/22/18,1544.92,6213379,1565.47,1573.85,1542.4
3/21/18,1581.86,4740884,1586.45,1590,1563.17
3/20/18,1586.51,4554675,1550.34,1587,1545.41
3/19/18,1544.93,6406413,1554.53,1561.66,1525.35
3/16/18,1571.68,5291848,1583.45,1589.44,1567.5
3/15/18,1582.32,4057694,1595,1596.91,1578.11
3/14/18,1591,4236655,1597,1606.444,1590.89
3/13/18,1588.18,6514336,1615.96,1617.54,1578.01
3/12/18,1598.39,5146149,1592.6,1605.33,1586.7
3/9/18,1578.89,4508650,1563.5,1578.94,1559.08
3/8/18,1551.86,3882904,1550,1554.88,1545.25
3/7/18,1545,4164829,1526.52,1545.9,1522.51
3/6/18,1537.64,4433105,1533.2,1542.13,1528
3/5/18,1523.61,5192119,1494.24,1525.38,1481
3/2/18,1500.25,6573973,1469.1,1501.05,1455.0101
3/1/18,1493.45,6820462,1513.6,1518.49,1465
2/28/18,1512.45,4498688,1519.51,1528.7,1512
2/27/18,1511.98,4791167,1524.5,1526.78,1507.21
2/26/18,1521.95,4944679,1509.2,1522.84,1507
2/23/18,1500,4395443,1495.34,1500,1486.5
2/22/18,1485.34,4806267,1495.36,1502.54,1475.76
2/21/18,1482.92,6270085,1485,1503.49,1478.92
2/20/18,1468.35,6473520,1446.49,1488.77,1446.49
