date,close,volume,open,high,low
3/8/19,175.03,14664220,171.565,175.35,171.565
3/7/19,177.32,16464060,180.91,181.8,176.73
3/6/19,184.17,10001170,184.38,185.59,183.02
3/5/19,185,11494680,186.94,188.08,185
3/4/19,187.25,14736020,186,187.34,184.46
3/1/19,183.88,14284680,185.09,186.9,183.38
2/28/19,183.03,12348160,183.01,184.3,181.47
2/27/19,184.58,16727160,181.72,184.93,180.88
2/26/19,183.54,13853070,179.79,184.35,179.37
2/25/19,183.25,22759390,181.26,183.72,180.73
2/22/19,176.92,16161830,172.8,177.02,172.52
2/21/19,171.66,8419851,171,171.78,169.8
2/20/19,170.71,12447060,171,172.68,170.61
2/19/19,170.18,12968380,166.98,171.15,166.5
2/15/19,166.15,11983190,168.61,168.77,165.41
2/14/19,168.38,8710486,167.64,168.5,166.61
2/13/19,169.4,8643489,169.91,171.05,168.99
2/12/19,168.71,8577821,169.6,170.49,168.61
2/11/19,167.45,7234323,168.85,170.33,167.45
2/8/19,167.36,8325668,163.83,167.65,163.75
2/7/19,166.96,11874190,169.16,169.61,164.336
2/6/19,171.52,11263040,171.86,173.09,169.99
2/5/19,171.83,12737790,168.55,171.95,168
2/4/19,166.7,7373118,166.32,167.55,165.61
2/1/19,167.97,10766660,168,169.4,167.63
1/31/19,168.49,21195890,167.8,169.73,165.7
1/30/19,166.82,36958510,161.29,167.84,160.5
1/29/19,156.88,18302160,159.04,160.3746,155.92
1/28/19,158.92,10128660,157.8,159.69,155.3
1/25/19,159.21,16434320,158.91,160.5,157.43
1/24/19,155.86,10988430,151.47,156,151.21
1/23/19,152.03,10188040,154.65,155.18,150.95
1/22/19,152.15,21282320,154.4,155.44,150.2069
1/18/19,157.02,19142740,158.45,159.49,154.73
1/17/19,155.97,16127240,152.11,158.55,151.9
1/16/19,154.84,14780030,152.81,155.39,151.5
1/15/19,150.88,14983900,150.68,154.17,149.9643
1/14/19,149.27,12911650,148.5,150.57,146.54
1/11/19,151.32,9552933,151.83,153.38,150.1401
1/10/19,151.69,14211280,149.81,152.03,148.88
1/9/19,151.92,20184060,149.89,153.35,148.5
1/8/19,146.79,16422310,145,147.55,142.06
1/7/19,143.1,17218390,140.55,144.08,139.01
1/4/19,139.75,22813920,134.26,141.08,133.66
1/3/19,130.6,19516320,134.27,134.8699,129.83
1/2/19,136.7,16589680,134.13,137.7488,133.03
12/31/18,137.07,11180730,141.83,142.02,136.04
12/28/18,139.09,11950610,139.2,140.98,136.79
12/27/18,138.45,11407510,135.05,138.45,133.89
12/26/18,138,14452360,132.87,138.02,130.18
12/24/18,131.89,11240720,130,134.57,129.77
12/21/18,132,28757930,137.08,137.19,130.23
12/20/18,135.11,23967630,135.83,137.755,132.91
12/19/18,137.14,27614500,141.04,141.325,135.73
12/18/18,140.82,17568170,144.28,144.75,140.11
12/17/18,143.98,15726640,146.5,147.94,142.24
12/14/18,149,15556480,147.71,150.7,145.72
12/13/18,151.48,12203100,153.05,153.46,150.52
12/12/18,151.5,16595780,155.24,156.17,151.43
12/11/18,151.83,13614260,155.26,156.24,150.9
12/10/18,151.43,15506430,150.39,152.81,147.48
12/7/18,153.06,17438360,155.4,158.05,151.73
12/6/18,155.83,25259980,153,155.87,150.51
12/4/18,158.34,22154300,164.88,164.98,156.46
12/3/18,163.74,31057810,168.64,168.8,163.51
11/30/18,160.86,35042190,157.9,160.86,156.7201
11/29/18,156.28,20505610,158.08,159,153.54
11/28/18,159.34,20743610,159.01,159.8,155.26
11/27/18,156.46,17892140,154.64,157.94,153.5802
11/26/18,156.01,16106170,153.21,156.53,152.37
11/23/18,150.33,7437479,147.3,151.17,147
11/21/18,149.41,14707580,149.06,151.48,148.65
11/20/18,145.98,19447780,144.48,148.07,142.82
11/19/18,149.53,18053210,152.02,153.21,148.77
11/16/18,154.1,19489910,155.04,155.8,152.1423
11/15/18,156.22,30029500,152.9,157.4,150.89
11/14/18,150.44,21767580,150.21,152.15,148.44
11/13/18,146.98,19544820,144.83,149.94,143.91
11/12/18,142.82,16500820,145.01,146.406,139.97
11/9/18,144.85,16209350,145.57,145.72,142.48
11/8/18,148.99,17057390,150.99,151.88,146.69
11/7/18,152.5,17860340,150.77,152.8,148.94
11/6/18,147.44,17835420,145.87,149.96,145.325
11/5/18,144.64,16177040,146.22,149.37,144.23
11/2/18,147.59,45667320,152.56,154.36,146.28
11/1/18,151.25,46943600,144.98,152.3175,138.62
10/31/18,142.28,23634410,141.35,142.65,139.14
10/30/18,136.33,25165940,132.28,136.4,130.06
10/29/18,133.38,35064320,142.42,144,131.36
10/26/18,142.87,19466330,139,145.8293,138.55
10/25/18,144.6,13604120,142.5,144.91,141.01
10/24/18,139.61,18295720,145.18,146.69,139.34
10/23/18,146.65,19936740,143.22,147.51,142.62
10/22/18,148.8,22560500,148.99,150.2,146.1
10/19/18,142.93,14842970,145.34,146.77,142.61
10/18/18,142.02,20591730,145.85,146.28,140.8
10/17/18,148.14,16863550,150.68,150.68,146.37
10/16/18,149.6,18337850,145.71,149.76,145.26
10/15/18,144.16,18536160,144.77,145.69,142.3
10/12/18,147.29,30724610,148.62,149,144.52
10/11/18,141.9,43104960,135.53,142.91,135.14
10/10/18,138.29,55541460,142.5,144,137.92
10/9/18,146.94,31042160,147.97,150.5898,146.47
10/8/18,151.14,24792330,150.2,152.6357,148.34
10/5/18,154.63,20253600,156.14,157.12,152.25
10/4/18,156.13,32145230,160.06,160.08,153.87
10/3/18,162.37,13101040,163.15,164.54,161.93
10/2/18,160.23,14713340,159.79,161.0278,158.27
10/1/18,162,10599540,165.92,165.95,161.56
9/28/18,164.76,10480580,164.9,165.66,163.3
9/27/18,166.32,12682550,166.39,167.05,164.92
9/26/18,165.4,13570590,165.52,167.39,164.87
9/25/18,164.25,9579768,164.05,165.44,162.83
9/24/18,163.16,13113480,162.81,163.399,160.1
9/21/18,164.63,21876600,169.46,169.84,164.5
9/20/18,165.88,22803720,166.89,167.7,164.7163
9/19/18,162.63,23002870,158.82,163.13,158.82
9/18/18,156.65,27218070,156.88,159.4,155.52
9/17/18,158.89,20326940,161.5,161.65,158.2886
9/14/18,164.74,23403950,167.88,168,163.381
9/13/18,165.53,25666870,165.41,167.22,164.01
9/12/18,161.46,32454860,158.2,162.82,156.1808
9/11/18,157.46,25878870,153.18,158.45,152.85
9/10/18,156.36,39062050,158.59,160.72,155
9/7/18,162.37,19297860,159.95,164.61,159.5095
9/6/18,159.87,33018050,164.16,166.48,158.67
9/5/18,164.23,35672700,167.48,168.28,162.03
9/4/18,170.44,23187010,173.5,173.95,169
8/31/18,175.01,13721350,173.11,176.681,172.76
