date,close,volume,open,high,low
3/8/19,17.94,3436995,17.21,18.2,17.15
3/7/19,17.8,3829495,18.4,18.6,17.67
3/6/19,18.66,3976666,19,19.13,18.515
3/5/19,19.14,4491372,18.66,19.32,18.269
3/4/19,18.82,10363830,17.63,19,17.57
3/1/19,17.98,9800021,19.11,19.2,17.92
2/28/19,18.98,17285660,20.9,21.5,18.54
2/27/19,19.86,5618054,19.99,20.05,19.43
2/26/19,19.73,4368214,19.67,19.98,19.05
2/25/19,20.26,8637771,20.5,21,19.56
2/22/19,19.48,7628035,18.45,19.55,18.4249
2/21/19,18.14,3016207,18.46,18.68,17.93
2/20/19,18.31,5229914,18.03,18.75,18.02
2/19/19,17.8,3306249,17.81,18.22,17.77
2/15/19,17.74,6511864,18.5,18.51,17.72
2/14/19,18.92,6901881,18.82,19.2,18.38
2/13/19,18.2,2489967,18.11,18.5,17.9635
2/12/19,17.86,3901748,17.51,18.21,17.51
2/11/19,17.29,2372821,17.825,17.95,17.15
2/8/19,17.46,1701345,16.99,17.65,16.43
2/7/19,17.18,4051906,17.99,18.0648,16.99
2/6/19,18.21,2865417,18.19,18.48,18.07
2/5/19,18.21,2054893,17.76,18.435,17.66
2/4/19,17.7,2413173,17.89,18.05,17.47
2/1/19,17.83,3027317,18.3,18.61,17.75
1/31/19,18.41,5091969,18.28,18.46,17.96
1/30/19,17.76,2802187,18.19,18.3,17.68
1/29/19,17.84,6340312,17.99,18.38,17.67
1/28/19,17.98,4091934,17.14,18.16,16.8
1/25/19,17.44,3761575,17.22,17.5,16.97
1/24/19,16.89,4375088,16.09,17.18,16
1/23/19,15.95,3081757,16.19,16.37,15.84
1/22/19,15.93,4492854,16.16,16.19,15.75
1/18/19,16.71,3632122,16.86,17.09,16.6
1/17/19,16.53,3887677,15.9,16.82,15.75
1/16/19,16.03,4317916,15.77,16.15,15.56
1/15/19,15.51,3143244,15.33,15.8,15.23
1/14/19,15.06,2385170,15.2,15.37,14.7101
1/11/19,15.36,4049202,16.02,16.09,15.29
1/10/19,16.26,5961963,15.4,16.6,15.3
1/9/19,15.75,7935187,14.04,16.37,14.01
1/8/19,14.78,4790656,14.515,15.1,14.4
1/7/19,14.27,2310204,13.94,14.37,13.74
1/4/19,13.7,2967026,13.45,13.89,13.4
1/3/19,12.95,5031243,14.19,14.2,12.85
1/2/19,14.28,1897688,14,14.63,13.98
12/31/18,14.59,2913593,14.57,15,14.4
12/28/18,14.37,2759817,14.04,14.42,13.81
12/27/18,14.08,2151281,13.41,14.2,13.33
12/26/18,13.85,3556423,13.78,13.96,13.27
12/24/18,13.71,4584292,13.04,13.83,12.66
12/21/18,13.3,13862150,15.18,15.5,13.16
12/20/18,14.63,7507962,15.18,15.23,14.05
12/19/18,14.55,3217555,14.8,15.17,14.5
12/18/18,14.72,3022333,14.48,14.8,14.3
12/17/18,14.28,3081204,14.93,14.9407,14.22
12/14/18,15.22,4100079,14.8,15.43,14.3
12/13/18,14.95,2625604,15.44,15.57,14.91
12/12/18,15.29,3438917,15.3,15.64,15.17
12/11/18,15.05,2029348,15.02,15.33,14.81
12/10/18,14.71,3149074,14.59,15.0885,14.59
12/7/18,14.69,3612366,14.66,15.4,14.52
12/6/18,14.68,4837032,14.03,14.73,13.9
12/4/18,14.33,4899867,15.52,15.7,14.11
12/3/18,15.42,5350583,16.29,16.74,15.32
11/30/18,15.61,5774984,15.15,15.74,14.9
11/29/18,14.93,6584181,15.93,15.95,14.64
11/28/18,16.14,5324889,15.2,16.17,15.03
11/27/18,14.97,3098314,14.7,15.19,14.5
11/26/18,14.94,2886141,15.15,15.36,14.64
11/23/18,14.98,2797733,14.53,15.06,14.2
11/21/18,15.14,19443190,13.79,16.1299,13.75
