date,close,volume,open,high,low
2/19/19,162.29,14320590,160.5,164.15,160.33
2/15/19,162.5,15485430,164.51,164.7,160.86
2/14/19,163.95,12696560,163.19,164.8697,162.2468
2/13/19,164.07,14168500,165.38,166.22,163.73
2/12/19,165.04,16241390,166.86,168.34,164.5
2/11/19,165.79,12694750,167.9,168.3,165.08
2/8/19,167.33,12485700,164.47,167.37,164.21
2/7/19,166.38,17206800,168.2,169.24,165.25
2/6/19,170.49,13254460,171.2,172.47,169.27
2/5/19,171.16,21723960,169.15,171.98,168.69
2/4/19,169.25,19980980,165.7,169.3,163.62
2/1/19,165.71,30742790,165.84,169.1,165.66
1/31/19,166.69,77005780,165.6,171.68,165
1/30/19,150.42,41676170,146.22,150.95,145.6953
1/29/19,144.19,17451800,148.09,148.1,143.43
1/28/19,147.47,15242960,148.05,148.96,146.21
1/25/19,149.01,22227160,147.48,149.83,146.54
1/24/19,145.83,20932280,144.64,146.44,142.52
1/23/19,144.3,20060100,148.28,148.8,143.055
1/22/19,147.57,22310570,149.2,151.53,146.37
1/18/19,150.04,30631520,149.75,152.43,148.55
1/17/19,148.3,15480790,146.95,149,146.5
1/16/19,147.54,17977150,149,149.6499,146.9975
1/15/19,148.95,24036820,146.01,150.68,145.99
1/14/19,145.39,19864680,142,146.57,141.27
1/11/19,143.8,12780600,143.15,145.36,142.57
1/10/19,144.2,16057330,143.08,144.56,140.84
1/9/19,144.23,22131500,142.95,144.7,141.27
1/8/19,142.53,26191030,139.89,143.14,139.54
1/7/19,138.05,19988840,137.56,138.87,135.91
1/4/19,137.95,27973370,134.01,138,133.75
1/3/19,131.74,22448730,134.69,137.17,131.12
1/2/19,135.68,27967450,128.99,137.51,128.56
12/31/18,131.09,24552820,134.45,134.64,129.95
12/28/18,133.2,22351260,135.34,135.92,132.2
12/27/18,134.52,30305940,132.44,134.99,129.67
12/26/18,134.18,39526860,126,134.24,125.89
12/24/18,124.06,22066000,123.1,129.74,123.02
12/21/18,124.95,56624760,133.39,134.9,123.42
12/20/18,133.4,40202130,130.7,135.57,130
12/19/18,133.24,57110060,141.21,144.91,132.5
12/18/18,143.66,23678090,141.08,145.93,139.8301
12/17/18,140.19,23838160,143.08,144.92,138.42
12/14/18,144.06,21773500,143.34,146.01,142.51
12/13/18,145.01,18090420,145.57,145.85,143.19
12/12/18,144.5,23349970,143.08,147.19,142.51
12/11/18,142.08,19429850,143.88,143.88,141.1
12/10/18,141.85,26315700,139.6,143.05,139.01
12/7/18,137.42,20583170,139.25,140.87,136.6566
12/6/18,139.63,27625310,133.82,139.7,133.67
12/4/18,137.93,30227750,140.73,143.39,137.16
12/3/18,141.09,24697080,143,143.6799,140.76
11/30/18,140.61,25716150,138.26,140.966,137.36
11/29/18,138.68,23935390,135.92,139.99,135.66
11/28/18,136.76,28701670,136.28,136.7899,131.85
11/27/18,135,20477390,135.75,136.6126,133.71
11/26/18,136.38,23459920,133,137,132.78
11/23/18,131.73,11886130,133.65,134.5,131.2551
11/21/18,134.82,25365750,134.4,137.19,134.13
11/20/18,132.43,41888940,127.03,134.1592,126.85
11/19/18,131.55,44051860,137.61,137.75,131.21
11/16/18,139.53,37139590,141.07,141.77,137.77
11/15/18,143.85,29803280,142.33,144.84,140.83
11/14/18,144.22,22019830,143.7,145.58,141.55
11/13/18,142.16,15062230,142,144.88,141.62
11/12/18,141.55,18387680,144.48,145.04,140.4899
11/9/18,144.96,17305480,146.75,147.76,144.07
11/8/18,147.87,24061590,150.49,150.94,146.74
11/7/18,151.53,21740210,151.57,153.01,149.83
11/6/18,149.94,16302120,149.31,150.97,148
11/5/18,148.68,15894150,150.1,150.19,147.44
11/2/18,150.35,24479290,151.8,154.13,148.96
11/1/18,151.75,25435380,151.52,152.75,149.35
10/31/18,151.79,59983970,155,156.4,148.96
10/30/18,146.22,45351650,139.935,146.64,139.7419
10/29/18,142.09,31270990,148.5,148.83,139.03
10/26/18,145.37,31235150,145.82,149,143.8
10/25/18,150.95,22000170,147.73,152.21,147
10/24/18,146.04,27574300,154.28,154.65,145.6
10/23/18,154.39,19066360,151.22,154.77,150.85
10/22/18,154.78,15381630,154.76,157.34,154.46
10/19/18,154.05,19636460,155.86,157.35,153.55
10/18/18,154.92,21123820,158.51,158.66,153.28
10/17/18,159.42,17307030,159.56,160.49,157.95
10/16/18,158.78,18711620,155.4,159.46,155.01
10/15/18,153.52,15194060,153.32,155.57,152.55
10/12/18,153.74,25209770,156.73,156.89,151.2998
10/11/18,153.35,35225150,150.13,154.81,149.16
10/10/18,151.38,30143210,156.82,157.69,151.31
10/9/18,157.9,18494270,157.69,160.59,157.42
10/8/18,157.25,23825100,155.54,158.34,154.39
10/5/18,157.33,25727470,159.21,160.9,156.2
10/4/18,158.85,25707300,161.46,161.46,157.35
10/3/18,162.43,23086120,160,163.66,159.53
10/2/18,159.33,35303190,161.58,162.28,158.67
10/1/18,162.44,26260420,163.03,165.88,161.26
9/28/18,164.46,33786480,168.33,168.79,162.56
9/27/18,168.84,27192570,167.55,171.77,167.21
9/26/18,166.95,24271500,164.3,169.3,164.21
9/25/18,164.91,27430470,161.99,165.59,161.15
9/24/18,165.41,18907320,161.03,165.7,160.88
9/21/18,162.93,45847680,166.64,167.25,162.81
9/20/18,166.02,18812060,164.5,166.45,164.4722
9/19/18,163.06,19568020,160.08,163.44,159.48
9/18/18,160.3,22331470,159.39,161.7639,158.8656
9/17/18,160.58,20951950,161.92,162.06,159.77
9/14/18,162.32,21682850,161.715,162.84,160.34
9/13/18,161.36,25376900,162,163.32,160.86
9/12/18,162,24033850,163.25,164.49,161.8
9/11/18,165.94,20285090,163.94,167.19,163.72
9/10/18,164.18,19896190,163.51,165.01,162.16
9/7/18,163.04,24151910,160.31,164.6269,160.16
9/6/18,162.53,41418330,166.98,166.98,160
9/5/18,167.18,31191210,169.49,171.125,166.67
9/4/18,171.16,29460630,173.5,173.89,168.8
8/31/18,175.73,18025110,177.15,177.62,174.9815
8/30/18,177.64,24105390,175.9,179.7901,175.7
8/29/18,175.9,18357780,176.295,176.79,174.75
8/28/18,176.26,15720690,178.1,178.2399,175.83
8/27/18,177.46,17853600,175.99,178.67,175.79
8/24/18,174.645,14519920,173.7,174.82,172.92
8/23/18,172.9,17945260,173.09,175.55,172.83
8/22/18,173.64,16760320,172.21,174.24,172.13
8/21/18,172.62,19475690,172.81,174.17,171.39
8/20/18,172.5,21449120,174.04,174.57,170.91
8/17/18,173.8,24819470,174.5,176.22,172.04
8/16/18,174.7,31161240,180.42,180.5,174.01
8/15/18,179.53,32658240,179.34,180.87,174.78
8/14/18,181.11,18961200,180.71,181.99,178.62
8/13/18,180.05,17349150,180.1,182.61,178.9
8/10/18,180.26,21467940,182.04,182.1,179.42
8/9/18,183.09,19652850,185.849,186.57,182.48
8/8/18,185.18,22178460,184.75,186.85,183.76
8/7/18,183.81,33127670,186.5,188.3,183.72
8/6/18,185.69,49600350,178.97,185.79,178.38
8/3/18,177.78,24730780,177.69,178.85,176.15
8/2/18,176.37,32235750,170.68,176.79,170.27
8/1/18,171.65,33979910,173.93,175.08,170.9
7/31/18,172.58,40213830,170.67,174.24,170
7/30/18,171.06,65129810,175.3,175.3,166.56
7/27/18,174.89,59700640,179.87,179.93,173
7/26/18,176.26,169059900,174.89,180.13,173.75
7/25/18,217.5,45279590,215.715,218.62,214.27
7/24/18,214.67,28318380,215.11,216.2,212.6
7/23/18,210.91,15933870,210.58,211.62,208.8
7/20/18,209.94,16152700,208.85,211.5,208.5
7/19/18,208.09,11186170,208.77,209.99,207.76
7/18/18,209.36,15322340,209.82,210.99,208.44
7/17/18,209.99,15239470,204.9,210.46,204.84
7/16/18,207.23,10866950,207.5,208.72,206.84
7/13/18,207.32,11421420,207.81,208.43,206.45
7/12/18,206.92,15439760,203.43,207.08,203.19
7/11/18,202.54,12729340,202.22,204.5,201.75
7/10/18,203.54,12868530,204.5,204.91,202.26
7/9/18,204.74,18133700,204.93,205.8,202.1201
7/6/18,203.23,19687900,198.45,203.64,197.7
7/5/18,198.45,19582000,194.74,198.65,194.03
7/3/18,192.73,13489510,194.55,195.4,192.52
7/2/18,197.36,13735130,193.37,197.45,192.22
6/29/18,194.32,15516540,197.32,197.5997,193.955
6/28/18,196.23,18153600,195.18,197.34,193.26
6/27/18,195.84,18697530,199.18,200.75,195.8
6/26/18,199,17869610,197.6,199.1,196.23
6/25/18,196.35,25170720,200,200,193.11
6/22/18,201.74,17050440,201.16,202.24,199.31
6/21/18,201.5,18906350,202.76,203.39,200.09
6/20/18,202,28175590,199.1,203.55,198.805
6/19/18,197.49,19968690,196.235,197.96,193.79
6/18/18,198.31,16470990,194.8,199.58,194.13
6/15/18,195.85,21833150,195.79,197.07,194.64
6/14/18,196.81,19096760,193.1,197.28,192.91
6/13/18,192.41,15121450,192.74,194.5,191.91
6/12/18,192.4,11217070,192.17,193.28,191.56
6/11/18,191.54,12885730,188.81,192.6,188.8
6/8/18,189.1,12503130,187.53,189.4754,186.43
6/7/18,188.18,21451790,190.75,190.97,186.77
6/6/18,191.34,22500160,191.025,192.53,189.11
6/5/18,192.94,15059480,194.3,195,192.62
6/4/18,193.28,18881330,191.84,193.98,191.47
6/1/18,193.99,17278520,193.065,194.5492,192.07
5/31/18,191.78,30727790,187.87,192.72,187.48
5/30/18,187.67,13636820,186.54,188,185.25
5/29/18,185.74,16348650,184.34,186.81,183.71
5/25/18,184.92,10730560,186.02,186.33,184.45
5/24/18,185.93,11628050,185.88,186.8,185.03
5/23/18,186.9,16594310,182.5,186.91,182.18
5/22/18,183.8,12267860,184.93,185.42,183.43
5/21/18,184.49,13078810,183.77,185.3,183.13
5/18/18,182.68,13066220,183.49,184.19,182.61
5/17/18,183.76,14695830,182.68,184.06,182.22
5/16/18,183.2,16842080,183.695,184.32,182.66
5/15/18,184.32,15409930,184.88,185.29,183.2
5/14/18,186.64,15480030,187.71,187.86,186.2
5/11/18,186.99,21197800,184.85,188.32,184.18
5/10/18,185.53,20931530,183.15,186.1292,182.5
5/9/18,182.66,23266280,179.67,183.01,178.7807
5/8/18,178.92,15482580,178.25,179.04,177.11
5/7/18,177.97,18302910,177.35,179.5,177.17
5/4/18,176.61,17668270,173.08,176.98,173.06
5/3/18,174.02,23908500,175.13,176.12,172.12
5/2/18,176.07,29812020,174.246,178.08,174.2
5/1/18,173.86,26001150,172,174.02,170.23
4/30/18,172,20662060,173.79,175.72,171.71
4/27/18,173.59,29773640,176.81,177.1,172.6
4/26/18,174.16,77391810,173.22,176.27,170.8
4/25/18,159.69,38451590,160.145,161.06,156.19
4/24/18,159.69,34981150,165.43,166.1,158.19
4/23/18,165.84,22894510,167.27,168.45,165.09
4/20/18,166.28,18917050,167.79,168.43,165.81
4/19/18,168.1,21921120,166.2,168.33,165.2
4/18/18,166.36,20248580,166.88,168.12,165.77
4/17/18,168.66,21986820,165.83,169,165.66
4/16/18,164.83,17951530,165.725,165.78,163.39
4/13/18,164.52,19450140,164.58,165.7036,163.77
4/12/18,163.87,38195140,166.98,167.45,163.1
4/11/18,166.32,56011860,165.36,168.65,163.25
4/10/18,165.04,58051080,157.93,165.98,157.01
4/9/18,157.93,34671420,157.82,160.53,156.04
4/6/18,157.2,41397190,157.73,161.42,156.81
4/5/18,159.34,41138460,161.56,161.575,156.65
4/4/18,155.1,49542320,152.025,155.56,150.51
4/3/18,156.11,42518400,156.55,157.39,150.81
4/2/18,155.39,36715460,157.81,159.2,154.111
3/29/18,159.79,59266330,155.15,161.42,154.14
3/28/18,153.03,59803800,151.65,155.88,150.8
3/27/18,152.22,77468330,156.31,162.85,150.75
3/26/18,160.06,125971800,160.82,161.1,149.02
3/23/18,159.39,53478870,165.44,167.1,159.02
3/22/18,164.89,73554350,166.13,170.27,163.72
3/21/18,169.39,106166700,164.8,173.4,163.3
3/20/18,168.15,129654100,167.47,170.2,161.95
3/19/18,172.56,87171850,177.01,177.17,170.06
3/16/18,185.09,23699600,184.49,185.33,183.41
3/15/18,183.86,15638830,183.24,184,182.19
3/14/18,184.19,16814350,182.6,184.25,181.85
3/13/18,181.88,17873720,185.61,185.99,181.11
3/12/18,184.76,15194040,185.23,186.1,184.22
3/9/18,185.23,18187880,183.91,185.51,183.21
3/8/18,182.34,16920570,183.56,184.4,181.45
3/7/18,183.71,19007100,178.74,183.82,178.07
3/6/18,179.78,14868900,181.78,182.38,179.11
3/5/18,180.4,16098150,176.2,181.1475,175.89
3/2/18,176.62,19835420,173.29,177.11,172.99
3/1/18,175.94,23161610,179.01,180.12,174.41
2/28/18,178.32,18613520,182.3,182.88,178.14
2/27/18,181.46,15768550,184.45,184.7,181.46
2/26/18,184.93,17583030,184.58,185.66,183.2228
2/23/18,183.29,18811750,179.9,183.39,179.51
2/22/18,178.99,17766680,178.7,180.21,177.41
2/21/18,177.91,23166300,176.71,181.27,176.4
2/20/18,176.01,21037920,175.77,177.95,175.11
