date,close,volume,open,high,low
3/8/19,284.14,8805772,276.91,285.59,275.89
3/7/19,276.59,9410697,278.84,284.7,274.25
3/6/19,276.24,10319370,276.48,281.5058,274.39
3/5/19,276.54,18729800,282,284,270.1
3/4/19,285.36,17068890,298.12,299,282.78
3/1/19,294.79,22848750,306.94,307.13,291.9
2/28/19,319.88,9666224,318.92,320,310.81
2/27/19,314.74,11144100,301.78,316.295,300.55
2/26/19,297.86,8571609,292.22,302.01,288.7701
2/25/19,298.77,6213701,297.91,302.9044,297.0005
2/22/19,294.71,5731380,294.49,296.5,292.1
2/21/19,291.23,8880830,301.81,303.2399,290.5
2/20/19,302.56,7132969,304.41,306.3,299
2/19/19,305.64,4120520,306.56,311.5442,305.47
2/15/19,307.88,3895815,304.5,308,303.9
2/14/19,303.77,5190887,303.38,306.77,301
2/13/19,308.17,5130398,312.35,312.75,305.57
2/12/19,311.81,5485419,316.2,318.19,309.62
2/11/19,312.84,7114012,311.6,318.6,310.5
2/8/19,305.8,5835078,306.83,307.445,298.5
2/7/19,307.51,6511830,313.3,314.7,303
2/6/19,317.22,5031368,319.59,324.24,315.624
2/5/19,321.35,6734739,312.49,322.44,312.2494
2/4/19,312.89,7344076,312.98,315.3,301.88
2/1/19,312.21,7263618,305.42,316.1,303.5
1/31/19,307.02,12545190,301,311.5636,294
1/30/19,308.77,10594040,300.45,309,298.49
1/29/19,297.46,4602933,295.27,298.5566,291.8
1/28/19,296.38,6409477,292.91,297.46,287.75
1/25/19,297.04,7102781,294.39,298.5195,289.55
1/24/19,291.51,7990911,283.03,293.68,279.2831
1/23/19,287.59,12513080,292.5,294.5,281.69
1/22/19,298.92,12052130,304.82,308,295.5
1/18/19,302.26,24079260,323,327.1297,299.7301
1/17/19,347.31,3661162,346.21,351.5,344.15
1/16/19,346.05,4677227,344.78,352,343.5
1/15/19,344.43,6047890,335,348.8,334.5
1/14/19,334.4,5232690,342.38,342.5,334
1/11/19,347.26,5035078,342.09,348.41,338.77
1/10/19,344.97,6049621,334.4,345.39,331.79
1/9/19,338.53,5426618,335.5,343.5025,331.47
1/8/19,335.35,6994427,341.96,344.01,327.02
1/7/19,334.96,7542338,321.72,336.74,317.7508
1/4/19,317.69,7382755,306,318,302.73
1/3/19,300.36,6948577,307,309.4,297.38
1/2/19,310.12,11611270,306.1,315.13,298.8
12/31/18,332.8,6294298,337.79,339.21,325.26
12/28/18,333.87,9918777,323.1,336.24,318.41
12/27/18,316.13,8567385,319.84,322.1717,301.5
12/26/18,326.09,8143102,300,326.97,294.09
12/24/18,295.39,5559913,313.5,314.5,295.195
12/21/18,319.77,7997219,317.4,323.47,312.44
12/20/18,315.38,9049389,327.054,330.29,311.869
12/19/18,332.97,8256374,337.6,347.01,329.74
12/18/18,337.03,7084887,350.54,351.55,333.69
12/17/18,348.42,7664832,362,365.7,343.88
12/14/18,365.71,6327625,375,377.87,364.33
12/13/18,376.79,7348168,370.15,377.44,366.75
12/12/18,366.6,5019725,369.42,371.91,365.16
12/11/18,366.76,6298472,369.91,372.1689,360.23
12/10/18,365.15,6575341,360,365.98,353.12
12/7/18,357.965,11484350,369,379.49,357.65
12/6/18,363.06,7828689,356.01,367.38,350.76
12/4/18,359.7,8430213,356.05,368.68,352
12/3/18,358.49,8295843,360,366,352
11/30/18,350.48,5621104,341.83,351.6,338.2648
11/29/18,341.17,3076026,347,347.5,339.55
11/28/18,347.87,4114038,345.99,348.28,342.21
11/27/18,343.92,6347004,340.05,346.96,335.5
11/26/18,346,7973119,325,346.22,325
11/23/18,325.83,4202642,334.345,337.5,325.55
11/21/18,338.19,4677389,352,353.1,337.3995
11/20/18,347.49,7991253,341.75,349.8,333.55
11/19/18,353.47,9698559,356.34,366.75,352.88
11/16/18,354.31,7194458,345.19,355.7,345.1201
11/15/18,348.44,4600130,342.33,348.58,339.04
11/14/18,344,5032083,342.7,347.11,337.15
11/13/18,338.73,5422756,333.16,344.7,332.2
11/12/18,331.28,6916965,348.37,349.78,330.34
11/9/18,350.51,5093456,349,354,345.23
11/8/18,351.4,7080203,348.5,357.5755,348.44
11/7/18,348.16,7366706,343.34,351.18,340.8
11/6/18,341.06,6751930,339.07,348.8,336.09
11/5/18,341.4,7820845,340.5,343.955,330.14
11/2/18,346.41,7799920,343.74,349.2,340.91
11/1/18,344.28,7980946,338.26,347.84,334.725
10/31/18,337.32,7600840,332.54,342,329.1
10/30/18,329.9,9109120,328.39,337.8999,322.26
10/29/18,334.85,14455150,337.47,347.16,326.5
10/26/18,330.9,27380220,308.25,339.9,306.65
10/25/18,314.86,20771670,317.22,321,301.01
10/24/18,288.5,19350450,301.05,304.44,285.73
10/23/18,294.14,18956210,263.87,297.93,262.1
10/22/18,260.95,5594855,260.68,261.86,252.59
10/19/18,260,9344764,267.39,269.66,253.5
10/18/18,263.91,5401871,269.29,271,263
10/17/18,271.78,8636949,282.4,282.7,265.8032
10/16/18,276.59,9501120,265.7,277.375,262.24
10/15/18,259.59,6189026,259.06,263.28,254.5367
10/12/18,258.78,7189257,261,261.99,252.01
10/11/18,252.23,8128184,257.53,262.25,249.03
10/10/18,256.88,12781560,264.61,265.51,247.77
10/9/18,262.8,12037780,255.25,266.77,253.3
10/8/18,250.56,13371180,264.52,267.7599,249
10/5/18,261.95,17900710,274.65,274.88,260
10/4/18,281.83,9638885,293.95,294,277.67
10/3/18,294.8,7982272,303.33,304.6,291.57
10/2/18,301.02,11699690,313.95,316.84,299.15
10/1/18,310.7,21714210,305.77,311.44,301.05
9/28/18,264.77,33597290,270.26,278,260.555
9/27/18,307.52,7337760,312.9,314.96,306.91
9/26/18,309.58,7835863,301.91,313.89,301.1093
9/25/18,300.99,4472287,300,304.6,296.5
9/24/18,299.68,4834384,298.48,302.9993,293.58
9/21/18,299.1,5038497,297.7,300.58,295.37
9/20/18,298.33,7332477,303.56,305.98,293.33
9/19/18,299.02,8264353,280.51,300,280.5
9/18/18,284.96,16494280,296.69,302.64,275.5
9/17/18,294.84,6866208,290.04,300.87,288.13
9/14/18,295.2,6757652,288.76,297.3256,286.52
9/13/18,289.46,6333281,288.02,295,285.18
9/12/18,290.54,10002150,281.44,292.5,278.6463
9/11/18,279.44,9161061,279.47,282,273.55
9/10/18,285.5,14232250,273.26,286.03,271
9/7/18,263.24,22442310,260.1,268.35,252.2548
9/6/18,280.95,7472756,284.8,291.17,278.88
9/5/18,280.74,7707342,285.05,286.78,277.18
9/4/18,288.95,8304571,296.94,298.19,288
8/31/18,301.66,5367048,302,305.3082,298.6
8/30/18,303.15,7210625,302.26,304.6,297.72
8/29/18,305.01,7410538,310.27,311.85,303.69
8/28/18,311.86,7639453,318.41,318.88,311.19
8/27/18,319.27,13062650,318,322.435,308.81
8/24/18,322.82,3592734,320.7,323.85,319.4
8/23/18,320.1,5138685,319.14,327.32,318.1
8/22/18,321.64,5935853,320.87,323.88,314.67
8/21/18,321.9,13147770,310.61,324.79,309
8/20/18,308.44,17380430,291.704,308.5,288.2
8/17/18,305.5,18895880,323.5,326.77,303.53
8/16/18,335.45,6045392,339.91,342.28,333.82
8/15/18,338.69,9073033,341.906,344.49,332.14
8/14/18,347.64,6948511,358.45,359.1995,347.1
8/13/18,356.41,10444920,361.13,363.19,349.02
8/10/18,355.49,11530510,354,360,346
8/9/18,352.45,16951800,365.55,367.01,345.73
8/8/18,370.34,24535420,369.09,382.64,367.12
8/7/18,379.57,30596400,343.84,387.46,339.1501
8/6/18,341.99,8536766,345.46,354.98,341.82
8/3/18,348.17,13646640,347.81,355,342.53
8/2/18,349.54,23159160,328.44,349.99,323.16
8/1/18,300.84,8768099,297.99,303,293
7/31/18,298.14,5055094,292.25,298.32,289.07
7/30/18,290.17,6799581,295.9,296.1,286.13
7/27/18,297.18,5694690,307.25,307.6933,295.3404
7/26/18,306.65,4619567,304.85,310.7,303.6411
7/25/18,308.74,7031382,296.74,309.62,294.5025
7/24/18,297.43,9586186,304.4209,307.7171,292.5452
7/23/18,303.2,10974820,301.84,305.5,292.8601
7/20/18,313.58,5159831,321.23,323.24,311.7093
7/19/18,320.23,5907116,316.33,323.54,314.01
7/18/18,323.85,5610085,325,325.5,316.25
7/17/18,322.69,6987782,308.81,324.74,308.5
7/16/18,310.1,7800454,311.71,315.16,306.25
7/13/18,318.87,5866776,315.58,319.5849,309.25
7/12/18,316.71,5711851,321.43,323.23,312.77
7/11/18,318.96,4878595,315.8,321.94,315.07
