date,close,volume,open,high,low
3/8/19,30.04,11955310,29.64,30.21,29.41
3/7/19,30.12,15766510,30.76,30.84,30.01
3/6/19,30.8,10931200,30.94,31.339,30.585
3/5/19,31.03,12998180,30.5,31.23,30.39
3/4/19,30.5,15894860,30.78,31.26,30.065
3/1/19,30.62,12318090,31.17,31.19,30.28
2/28/19,30.78,14740480,30.25,30.79,30.01
2/27/19,30.41,24590070,30.95,31,29.9
2/26/19,31.01,17490510,31.89,31.96,30.99
2/25/19,31.99,14835110,31.99,32.71,31.88
2/22/19,31.71,15376970,30.81,31.73,30.81
2/21/19,30.76,13922730,31.36,31.48,30.6
2/20/19,31.37,16839660,31.71,31.93,31.21
2/19/19,31.65,14362110,31.23,32.11,31.15
2/15/19,31.23,17567830,31.2,31.8,30.97
2/14/19,30.96,15285580,30.86,31.28,30.6
2/13/19,31.12,29334890,30.57,31.84,30.55
2/12/19,30.39,20225210,30.44,30.8,30.23
2/11/19,30.23,28810000,30.17,30.44,29.6598
2/8/19,30.01,40635190,30.47,30.74,29.42
2/7/19,30.8,69631040,31.17,31.73,30.31
2/6/19,34.16,33399890,35.05,35.25,33.75
2/5/19,34.37,17511500,34.29,34.57,33.92
2/4/19,33.94,14209190,33.34,34.18,33.24
2/1/19,33.19,18798250,33.56,34.09,32.96
1/31/19,33.56,21171060,33.07,33.69,32.79
1/30/19,32.26,17010160,32.04,32.38,31.42
1/29/19,31.64,18818950,33.33,33.55,31.46
1/28/19,33.13,21665470,32.65,33.2,32.12
1/25/19,32.9,22512750,31.99,33.62,31.98
1/24/19,31.61,12461320,30.94,31.73,30.91
1/23/19,30.97,21067810,32.26,32.45,30.72
1/22/19,32.25,17257130,32.97,33.35,31.925
1/18/19,33.27,16757730,33.05,33.89,32.77
1/17/19,32.85,11733010,32.47,33.085,32.39
1/16/19,32.47,10091930,33.1,33.3,32.44
1/15/19,33.02,13485040,32.51,33.35,32.45
1/14/19,32.37,9507037,32.38,32.75,32.12
1/11/19,32.87,17721130,32.85,33.2,32.43
