date,close,volume,open,high,low
3/8/19,147.35,5167353,145.44,147.48,144.5
3/7/19,146.83,8759700,147.26,147.81,146.04
3/6/19,147.81,8185330,148,148.52,147.42
3/5/19,147.95,9678623,148,149.29,147.83
3/4/19,147.96,6976865,150.07,150.19,146.951
3/1/19,149.47,7010126,149.46,149.93,148.38
2/28/19,148.12,6250203,147.26,148.82,147.23
2/27/19,147.22,9728598,146.5,147.49,145.92
2/26/19,147.04,7331321,145.2,147.4,145.02
2/25/19,146.06,9729623,146.91,147.2,145.81
2/22/19,145.87,9680624,144.42,146.2836,144.42
2/21/19,144,8568290,144.35,145.0298,143.18
2/20/19,144.73,5283030,144.35,144.84,143.52
2/19/19,144.44,8406642,144.42,144.88,144.02
2/15/19,144.91,6533905,144.55,144.91,143.815
2/14/19,143.16,6313208,142.98,143.48,142.4
2/13/19,143.49,6882308,142.89,144.7,142.865
2/12/19,141.99,6089937,141.79,142.8,141.25
2/11/19,140.8,7599085,141.26,142.2877,140.45
2/8/19,140.38,5949638,138.69,140.4,138.52
2/7/19,140.17,10667760,139.92,141.06,139.21
2/6/19,141.49,6145911,141.96,142.42,141.05
2/5/19,142.53,8448135,142,142.945,141.83
2/4/19,141.5,11863100,139.79,141.517,139.18
2/1/19,140.15,13212600,135.39,140.35,135.26
1/31/19,135.01,20091530,134.39,135.73,133.3
1/30/19,137.6,7823716,136.1,137.895,135.51
1/29/19,135,7451864,136.59,136.69,134.11
1/28/19,135.99,9853646,137.51,137.51,134.81
1/25/19,138.67,9751319,139,139.9,137.97
1/24/19,137.7,4924695,137.11,138.32,136.52
1/23/19,137.01,5456799,138.77,138.98,136.1478
1/22/19,138.05,8101342,137.9,139.52,136.975
1/18/19,138.5,8862419,138.31,138.6,136.64
1/17/19,137.28,5855911,136.97,137.91,136.59
1/16/19,137.34,7232822,138.4,138.87,137.07
1/15/19,137.34,7592702,136.96,137.72,135.25
1/14/19,137.1,8665133,136.99,138.13,136.65
1/11/19,138.06,5837950,137.75,138.6,137.41
1/10/19,138.67,12513970,136.81,138.82,136.36
1/9/19,138.41,9986910,138.3,139.48,137.62
1/8/19,136.8,9239946,137.97,138.19,135.96
1/7/19,136.06,12925120,134.45,137.169,134.04
1/4/19,133.65,11064420,130.44,134.5886,130.13
1/3/19,128.13,9425621,131.21,131.28,127.88
1/2/19,132.92,8778946,130,133.74,129.6
12/31/18,131.94,7974918,131.68,132.44,130.23
12/28/18,130.94,7381178,133.08,133.62,129.66
12/27/18,132.01,10879380,127.99,132.01,126.52
12/26/18,130.23,13485080,123.02,130.24,123
12/24/18,121.73,8617681,122.08,125.21,121.6
12/21/18,124.26,25443340,127.18,130.33,122.9501
12/20/18,128.76,18086080,130.16,132.01,127.15
12/19/18,131.26,13814100,132.93,135.87,129.52
12/18/18,132.66,12756010,132.29,134.17,131.8
12/17/18,131.4,11781330,134.21,134.43,130.69
12/14/18,135.09,9347350,135.69,136.72,134.55
12/13/18,137.54,8778042,138.3,139.13,136.15
12/12/18,137.8,10385840,139.3,140.88,137.75
12/11/18,136.81,12353590,139.94,140.05,135.92
12/10/18,137.88,15743350,136.25,138.27,134.8555
12/7/18,137.11,14007190,140.82,142.13,135.9938
12/6/18,141.05,16301120,135.04,141.11,133.48
12/4/18,138.64,13982010,143.13,144.35,138.5
12/3/18,145,11148770,145,145.72,143.855
11/30/18,141.71,11360110,139.01,142.26,138.63
11/29/18,139.1,8649119,140.69,140.7,138.71
11/28/18,141.38,11104110,137.07,141.54,136.8686
11/27/18,135.91,7873291,135.28,136.31,134.12
11/26/18,135.94,9131016,134.6,136.52,134.25
11/23/18,132.87,3676032,132.59,134.25,132.49
11/21/18,134.42,7416053,134.36,135.78,133.63
11/20/18,133.37,12717890,130.31,134.53,129.54
11/19/18,134.76,16248790,140.47,140.57,134.25
11/16/18,140.18,8626278,140.42,141.84,139.92
11/15/18,141.84,8562305,138.85,141.91,137.93
11/14/18,139.49,6599435,142.02,142.6,138.4128
11/13/18,139.72,6283188,140.35,141.9,139.01
11/12/18,139.72,11331360,143.42,143.64,139.17
11/9/18,143.93,8338799,144.2,144.57,142.36
11/8/18,145.23,5922896,144.6,145.46,143.652
11/7/18,144.78,20497920,142.34,144.9,142.32
11/6/18,140.79,4730789,139.8,140.91,139.72
11/5/18,139.8,6279355,139.8,140.21,138.07
11/2/18,139.78,17061370,141.11,141.4546,137.85
11/1/18,140.83,16009070,139,140.87,137.49
10/31/18,137.85,13203470,134.99,139.12,134.99
10/30/18,132.76,15104240,133.08,134.86,129.79
10/29/18,134.33,12719200,139.61,141.51,132.27
10/26/18,137.74,12029220,137.98,139.87,136.06
10/25/18,140.52,14966090,135.45,140.9,132.5
10/24/18,134.26,13838260,139.7,140.18,134
10/23/18,139.12,10732990,136.89,140.04,135.59
10/22/18,140.64,6097787,140.97,141.54,139.51
10/19/18,140.08,8662489,139.9,142.19,139.38
10/18/18,139.29,10218910,142.46,142.46,137.95
10/17/18,142.45,9167625,142.34,142.86,140.73
10/16/18,141.74,11051690,138.71,142.14,138.68
10/15/18,137.23,7880853,139.9,140.06,137.22
10/12/18,140.06,12979990,138.48,140.98,137.43
10/11/18,133.73,15646580,134.09,137.24,132.26
10/10/18,135.52,15259430,142.57,142.6885,135.21
10/9/18,142.31,10797580,141.46,143.29,141.12
10/8/18,141.89,11595120,145.01,145.01,140.18
10/5/18,145.36,7084617,146.64,147.41,144.4
10/4/18,146.76,9207261,149.18,149.28,146.1
10/3/18,149.37,7520309,150.71,150.71,149.19
10/2/18,149.67,8047405,150.84,150.84,149.17
10/1/18,150.79,9802023,150.89,151.56,150.61
9/28/18,150.09,6032598,149.81,150.37,149.55
9/27/18,150.02,5868529,149.9,150.64,149.562
9/26/18,149.27,5851906,150,150.42,149.04
9/25/18,149.58,4230659,149.71,149.96,149.1
9/24/18,149.11,6704456,149.16,149.65,147.27
9/21/18,150.05,15566770,149.95,150.26,149.35
9/20/18,149.24,7163488,147.99,149.485,147.2
9/19/18,147.42,7432144,148.28,148.82,147.251
9/18/18,147.63,5691154,146.2,148.0897,145.95
